,Player,Team,GP,MIN,PTS,FGM,FGA,FG_PCT,3PM,3PA,3P_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
121,Ivica Zubac,LAC,23,30.7,10.7,4.3,6.9,61.6,0.0,0.0,0.0,2.1,3.1,68.1,3.4,8.1,11.5,1.3,0.4,1.8,2.3,19.7
122,Ayo Dosunmu,CHI,20,29.0,10.7,4.4,8.6,51.5,1.0,3.1,32.3,0.9,0.9,94.4,0.6,2.9,3.4,2.9,0.7,0.5,1.7,12.3
123,Keegan Murray,SAC,18,28.6,10.6,3.9,9.8,39.8,1.8,5.6,31.7,1.1,1.2,86.4,0.9,3.1,3.9,0.9,0.7,0.6,1.7,9.1
124,Herbert Jones,NOP,17,28.2,10.6,3.7,8.4,44.4,0.8,2.9,28.6,2.4,3.2,74.1,1.2,2.5,3.7,2.1,1.2,0.8,1.2,11.6
125,Kevin Love,CLE,16,20.7,10.6,3.2,7.6,41.8,2.3,5.6,40.4,1.9,2.3,86.1,0.8,6.4,7.2,2.5,0.1,0.2,1.1,14.8
126,Doug McDermott,SAS,20,20.7,10.3,3.9,8.3,47.3,2.0,4.8,40.6,0.5,0.8,62.5,0.3,1.6,1.9,1.5,0.1,0.2,1.0,8.2
127,Josh Richardson,SAS,17,22.8,10.2,3.5,8.6,40.4,1.7,4.7,36.3,1.6,1.9,84.4,0.4,1.8,2.2,3.0,0.7,0.1,1.7,9.2
128,Mike Conley,UTA,17,29.2,10.2,3.4,8.7,39.2,1.9,4.9,38.6,1.5,2.0,76.5,0.4,2.0,2.4,7.9,1.2,0.3,1.5,14.8
129,Tyus Jones,MEM,21,23.9,10.2,4.0,9.1,44.3,1.4,3.9,37.0,0.7,1.0,63.6,0.4,1.6,2.0,4.2,0.6,0.1,1.0,10.6
130,Royce O'Neale,BKN,23,35.8,9.8,3.4,8.7,39.2,2.3,5.6,41.4,0.7,0.9,76.2,0.9,4.3,5.2,4.7,1.2,0.7,1.7,14.4
131,Georges Niang,PHI,22,19.9,9.8,3.4,7.3,46.9,2.4,5.4,44.1,0.6,0.7,86.7,0.2,2.0,2.1,1.1,0.4,0.3,0.7,9.1
132,Jalen McDaniels,CHA,21,25.8,9.7,3.6,8.1,43.9,1.3,3.4,37.5,1.3,1.5,84.4,1.0,3.6,4.6,2.2,1.0,0.6,1.4,11.9
133,Gabe Vincent,MIA,17,25.4,9.7,3.5,8.6,40.4,1.5,4.9,31.0,1.2,1.5,84.0,0.2,1.8,2.1,3.1,0.8,0.1,1.4,9.1
134,Tre Mann,OKC,19,22.7,9.6,3.8,9.7,38.9,1.5,5.3,28.7,0.5,0.8,62.5,0.6,2.3,2.9,1.9,0.9,0.1,1.1,8.1
135,Aleksej Pokusevski,OKC,19,22.9,9.5,3.8,8.1,46.8,1.4,3.3,41.3,0.6,1.0,57.9,1.7,3.3,4.9,1.6,0.7,1.6,1.4,12.3
136,Josh Hart,POR,21,35.7,9.5,3.5,7.3,47.7,0.6,1.9,32.5,2.0,2.7,73.2,1.8,6.6,8.4,4.3,1.4,0.1,1.7,17.5
137,Nick Richards,CHA,21,19.7,9.4,3.6,5.9,61.0,0.0,0.0,0.0,2.3,3.1,73.8,3.0,3.6,6.7,0.7,0.1,0.9,1.0,13.7
138,Larry Nance Jr.,NOP,19,22.3,9.4,4.1,6.2,66.7,0.4,0.8,46.7,0.8,1.1,76.2,1.7,3.6,5.3,1.9,0.8,0.8,1.0,14.9
139,Immanuel Quickley,NYK,22,22.5,9.4,3.2,8.2,38.7,1.2,3.9,30.2,1.8,2.1,87.0,0.6,3.8,4.4,3.2,1.1,0.1,1.3,11.5
140,Dennis Smith Jr.,CHA,15,27.9,9.3,4.1,8.9,46.3,0.7,2.0,33.3,0.4,0.8,50.0,0.6,2.7,3.3,5.7,1.8,0.7,1.5,14.0
141,Santi Aldama,MEM,20,25.4,9.3,3.5,7.9,44.6,1.2,3.7,32.9,1.1,1.6,68.8,1.7,4.0,5.7,1.1,0.9,0.9,0.6,12.4
142,Patrick Williams,CHI,21,25.9,9.2,3.3,7.3,45.5,1.3,3.0,43.5,1.2,1.3,92.9,1.1,2.9,4.0,0.9,0.7,1.0,1.5,10.1
143,Cedi Osman,CLE,22,23.0,9.2,3.3,7.3,45.3,1.5,4.1,35.2,1.1,1.5,72.7,0.3,2.7,3.0,1.6,0.3,0.1,1.0,8.8
144,Jevon Carter,MIL,20,27.5,9.1,3.5,7.8,44.5,1.7,3.9,42.3,0.6,0.7,84.6,0.7,2.1,2.8,3.5,1.4,0.7,1.4,11.6
145,Terrence Ross,ORL,19,24.7,9.0,3.4,8.1,42.2,1.7,4.4,38.6,0.5,0.7,69.2,0.3,1.9,2.2,1.4,0.7,0.2,1.3,7.3
146,Dorian Finney-Smith,DAL,21,33.2,9.0,3.2,7.8,41.7,1.8,5.3,33.9,0.7,0.9,73.7,1.3,2.9,4.2,1.0,1.0,0.5,1.0,10.0
147,Draymond Green,GSW,20,30.7,9.0,3.7,6.2,60.2,0.4,1.3,32.0,1.2,1.7,69.7,0.6,5.5,6.1,7.1,1.0,0.7,2.4,18.4
148,Mason Plumlee,CHA,21,27.1,8.9,3.3,5.8,57.4,0.0,0.0,0.0,2.2,3.9,56.1,2.9,6.0,8.9,4.2,0.6,0.6,2.0,16.9
